
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013978                       # Number of seconds simulated (Second)
simTicks                                  13978137000                       # Number of ticks simulated (Tick)
finalTick                                 13979253000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     77.57                       # Real time elapsed on the host (Second)
hostTickRate                                180208720                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4672308                       # Number of bytes of host memory used (Byte)
simInsts                                       468595                       # Number of instructions simulated (Count)
simOps                                         582006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     6041                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       7503                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  13979253000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON  13979253000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED  13979253000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION  13979253000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF  13979253000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         27956274                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          591617                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        8                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5572402                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     40                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 9672                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             28877                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   5                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            24911786                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.223685                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.894138                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                  23233471     93.26%     93.26% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                    341360      1.37%     94.63% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                     71074      0.29%     94.92% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                     26818      0.11%     95.03% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                   1187248      4.77%     99.79% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                     51629      0.21%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                        89      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                         7      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                        90      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total              24911786                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass             1166148      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1166148      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                1166148      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 1166148      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               1166148      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               1166148      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt               1166148      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              1166148      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           1166148      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               1166148      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              1166148      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt              1166148      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1166148      1.89%     24.53% # attempts to use FU when none available (Count)
