
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001091                       # Number of seconds simulated (Second)
simTicks                                   1091185500                       # Number of ticks simulated (Tick)
finalTick                                  1091185500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.61                       # Real time elapsed on the host (Second)
hostTickRate                                 93991982                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4668332                       # Number of bytes of host memory used (Byte)
simInsts                                        30457                       # Number of instructions simulated (Count)
simOps                                          30885                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     2623                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       2660                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   1091185500                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON   1091185500                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED   1091185500                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION   1091185500                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF   1091185500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2182372                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           37533                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         269279                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     26                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6649                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             17979                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   5                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2015462                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.133607                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.674377                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                   1921380     95.33%     95.33% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                     29675      1.47%     96.80% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                      8644      0.43%     97.23% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                      1296      0.06%     97.30% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                     53964      2.68%     99.98% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                       461      0.02%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                        30      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                         9      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                         3      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total               2015462                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass               53101      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   53101      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  53101      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   53101      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 53101      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                 53101      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 53101      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                53101      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             53101      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 53101      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                53101      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                53101      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                  53101      1.89%     24.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc               53101      1.89%     26.42% # attempts to use FU when none available (Count)
