
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013960                       # Number of seconds simulated (Second)
simTicks                                  13959717000                       # Number of ticks simulated (Tick)
finalTick                                 13960833000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     75.42                       # Real time elapsed on the host (Second)
hostTickRate                                185091517                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4672224                       # Number of bytes of host memory used (Byte)
simInsts                                       468007                       # Number of instructions simulated (Count)
simOps                                         581418                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     6205                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       7709                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  13960833000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON  13960833000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED  13960833000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION  13960833000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF  13960833000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         27919434                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          591224                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        8                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5566855                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     40                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 9867                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             29601                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   5                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            24872287                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.223818                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.894421                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                  23195895     93.26%     93.26% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                    340775      1.37%     94.63% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                     70894      0.29%     94.92% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                     26814      0.11%     95.02% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                   1186088      4.77%     99.79% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                     51623      0.21%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                        96      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                         9      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                        93      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total              24872287                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass             1164981      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1164981      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                1164981      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 1164981      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               1164981      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               1164981      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt               1164981      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              1164981      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           1164981      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               1164981      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              1164981      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt              1164981      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1164981      1.89%     24.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc             1164981      1.89%     26.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                1164981      1.89%     28.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                1164981      1.89%     30.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                1164981      1.89%     32.08% # attempts to use FU when none available (Count)
