
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001465                       # Number of seconds simulated (Second)
simTicks                                   1464851000                       # Number of ticks simulated (Tick)
finalTick                                  1464851000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.63                       # Real time elapsed on the host (Second)
hostTickRate                                152065864                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4678100                       # Number of bytes of host memory used (Byte)
simInsts                                        81208                       # Number of instructions simulated (Count)
simOps                                          92863                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     8425                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       9634                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   1464851000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON   1464851000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED   1464851000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION   1464851000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF   1464851000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2929703                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           98918                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        9                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         264696                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     21                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6052                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             16308                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1274368                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.207708                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.816734                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                   1171893     91.96%     91.96% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                     39623      3.11%     95.07% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                     13003      1.02%     96.09% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                      6553      0.51%     96.60% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                     39352      3.09%     99.69% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                      2221      0.17%     99.86% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                      1173      0.09%     99.96% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                       543      0.04%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                         7      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total               1274368                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass               37228      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   37228      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  37228      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   37228      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 37228      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                 37228      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 37228      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                37228      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             37228      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 37228      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                37228      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                37228      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                  37228      1.89%     24.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc               37228      1.89%     26.42% # attempts to use FU when none available (Count)
