mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
stencil3d/iommu_e32_m250ns	13962.145	13962145000	0.013962	704.98	0.000	594.922	142601	142533	68	99.9523	66	0	0	0
stencil3d/iommu_e32_m500ns	13978.535	13978535000	0.013979	721.72	0.000	624.670	142599	142531	68	99.9523	66	0	0	0
stencil3d/iommu_e32_m1000ns	14013.138	14013138000	0.014013	755.92	0.000	684.168	142601	142533	68	99.9523	66	0	0	0
stencil3d/iommu_e64_m100ns	13952.086	13952086000	0.013952	694.79	0.000	576.754	142593	142527	66	99.9537	66	0	0	0
stencil3d/iommu_e64_m250ns	13961.736	13961736000	0.013962	704.49	0.000	594.172	142598	142532	66	99.9537	66	0	0	0
stencil3d/iommu_e64_m500ns	13978.140	13978140000	0.013978	720.78	0.000	623.178	142600	142534	66	99.9537	66	0	0	0
stencil3d/iommu_e64_m1000ns	14010.244	14010244000	0.014010	753.96	0.000	681.168	142598	142532	66	99.9537	66	0	0	0
stencil3d/iommu_e256_m100ns	13952.086	13952086000	0.013952	694.79	0.000	576.754	142593	142527	66	99.9537	66	0	0	0
stencil3d/iommu_e256_m250ns	13961.736	13961736000	0.013962	704.49	0.000	594.172	142598	142532	66	99.9537	66	0	0	0
stencil3d/iommu_e256_m500ns	13978.140	13978140000	0.013978	720.78	0.000	623.178	142600	142534	66	99.9537	66	0	0	0
stencil3d/iommu_e256_m1000ns	14010.244	14010244000	0.014010	753.96	0.000	681.168	142598	142532	66	99.9537	66	0	0	0
stencil3d/iommu_e2048_m100ns	13952.086	13952086000	0.013952	694.79	0.000	576.754	142593	142527	66	99.9537	66	0	0	0
stencil3d/iommu_e2048_m250ns	13961.736	13961736000	0.013962	704.49	0.000	594.172	142598	142532	66	99.9537	66	0	0	0
stencil3d/iommu_e2048_m500ns	13978.140	13978140000	0.013978	720.78	0.000	623.178	142600	142534	66	99.9537	66	0	0	0
stencil3d/iommu_e2048_m1000ns	14010.244	14010244000	0.014010	753.96	0.000	681.168	142598	142532	66	99.9537	66	0	0	0
